id,run,time,fuel_consumption,speed,acc_long,acc_lat,acc_norm,throttle_position,engine_speed,steering_angle,deflection,deterministic_score,fuzzy_score,jerk_score,deterministic_class,fuzzy_class,jerk_class,group_match_strength,group_match_id,cluster_id,cluster_score
14,1,14,396.8,1,-0.1,-0.2,0.223606797749979,7.5,668,-7.3,0,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.66674100430746
15,1,15,473.6,2,-0.1,-0.2,0.223606797749979,8.5,742,-7.3,0,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.56630825862033
16,1,16,473.6,3,0,-0.2,0.2,8.5,759,-4.8,2.5,0,0.152950819672131,0.32152652311782,Normal,Calmo,Calmo,3,1,1,1.52619778081162
17,1,17,473.6,3,-0.2,-0.3,0.360555127546399,8.5,761,0.8,5.6,0,0.152950819672131,0.428702030823759,Normal,Calmo,Calmo,3,1,1,1.28362277826938
18,1,18,473.6,3,-0.1,-0.2,0.223606797749979,8.5,766,0.6,0.2,0,0.152950819672131,0.428702030823759,Normal,Calmo,Calmo,3,1,1,1.52082197400694
19,1,19,473.6,4,-0.1,-0.2,0.223606797749979,8.5,769,0.5,0.1,0,0.152950819672131,0.491139876707792,Normal,Calmo,Calmo,3,1,1,1.50243610997423
20,1,20,473.6,4,0,-0.2,0.2,8.5,768,0.7,0.2,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,1,1,1.53381454275869
21,1,21,486.4,4,0,-0.3,0.3,8.5,767,0.4,0.3,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,1,1,1.40435600049942
22,1,22,473.6,3,0,-0.2,0.2,8.5,770,0.5,0.1,0,0.152950819672131,0.535877538529699,Normal,Calmo,Normal,2,1,1,1.55007383728291
23,1,23,486.4,3,0.1,-0.2,0.223606797749979,8.5,768,0.5,0,0,0.152950819672131,0.525050613606558,Normal,Calmo,Normal,2,1,1,1.52227600346175
24,1,24,473.6,1,0.6,-0.2,0.632455532033676,8.5,765,0.2,0.3,0,0.152950819672131,0.686258091051075,Normal,Calmo,Normal,2,1,1,1.21928998584227
31,1,31,460.8,2,0.1,-0.3,0.316227766016838,8,747,-86.2,1.8,0,0.152950819672131,0.802028060178355,Normal,Calmo,Normal,2,1,1,1.42063691306065
32,1,32,460.8,2,0,-0.4,0.4,8,758,-274,187.8,0,0.152950819672131,0.89026662983052,Normal,Calmo,Normal,2,1,1,7.55131697273256
